"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";17;14;2;1;68;19;44;60.04;55.5;18.59;37.66;8.94;24.37;240;69;43.37
2;"Borussia Dortmund";17;13;2;2;40;16;41;39.6;34.3;18.94;16.12;11.3;15.75;197;78;35.18
3;"VfB Stuttgart";17;12;3;2;30;16;39;37.11;34.08;20.11;15.48;9.85;12.91;150;85;34.32
4;"RasenBallsport Leipzig";17;12;2;3;40;20;38;46.31;45.56;25.26;21.81;15.01;14.27;196;113;35.36
5;"Hoffenheim";17;10;2;5;35;21;32;34.77;31.74;22.34;11.67;7.9;17.43;170;68;31.4
6;"Freiburg";17;9;5;3;33;22;32;32.04;29;21.77;7.23;11.39;11.41;111;104;29.1
7;"Bayer Leverkusen";17;9;4;4;38;19;31;46.61;42.82;19.22;25.87;12.06;18.64;163;103;39.36
8;"Augsburg";17;7;5;5;25;28;26;26.3;24.78;28.95;-3.42;14.46;9.46;90;153;23.51
9;"Eintracht Frankfurt";17;7;4;6;29;27;25;28.56;24.77;22.78;2;11.68;15.28;127;105;27.74
10;"Hamburger SV";17;6;6;5;25;22;24;26.25;23.9;27.17;-1.76;12.85;10.11;100;121;22.68
11;"Borussia M.Gladbach";17;6;6;5;24;24;24;24.39;19.84;26.99;-4.87;15.77;12.01;112;126;21.78
12;"Union Berlin";17;5;7;5;26;26;22;26.79;24.52;20.75;6.04;14.66;9.97;93;106;27.64
13;"FC Cologne";17;5;4;8;30;30;19;29.28;28.52;27.58;3.96;14.39;13.94;114;101;23.47
14;"Werder Bremen";17;5;4;8;19;31;19;23.88;22.36;27.53;-2.89;11.58;14.99;149;106;22.01
15;"Mainz 05";17;4;5;8;21;25;17;33.75;29.96;26.88;3.83;12;11.17;139;126;27.66
16;"FC Heidenheim";17;4;5;8;23;37;17;27.72;26.21;35.71;-7.23;16.03;11.01;88;176;19.29
17;"St. Pauli";17;4;5;8;17;31;17;18.63;15.44;32.44;-14.73;18.35;12.82;96;121;15.83
18;"Wolfsburg";17;2;4;11;21;32;10;28.85;27.26;28.01;5.3;12.48;13.86;108;152;24.35
