"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Arsenal";19;15;2;2;41;11;47;39.8;37.52;14.75;22.77;9.57;14.79;192;51;42.08
2;"Manchester City";19;14;3;2;45;14;45;43.89;42.37;21.97;21.32;10.89;13.65;213;62;39.63
3;"Manchester United";19;13;3;3;39;24;42;41.63;40.11;22.52;18.35;10.86;12.11;164;132;38.46
4;"Aston Villa";19;12;2;5;32;22;38;30.01;30.01;24.79;6.74;11.33;10.57;161;99;29.58
5;"Liverpool";19;10;6;3;34;20;36;35.12;34.36;21.72;13.4;9.75;12.98;219;115;34.72
6;"Fulham";19;11;2;6;30;20;35;28.66;27.14;24.4;3.5;12.81;15.13;164;106;28.91
7;"Brighton";19;9;6;4;30;20;33;30.14;28.62;23.85;7.05;8.88;14.68;138;116;29.93
8;"Sunderland";19;9;6;4;25;20;33;23.02;20.73;25.64;-3.38;11.17;10.55;139;155;25.09
9;"Brentford";19;8;8;3;33;21;32;40.2;36.4;25.08;14.36;11.21;11.04;124;137;35.74
10;"Leeds";19;9;5;5;29;21;32;33.34;31.06;23.39;9.19;11.56;11.87;99;103;33.74
11;"Newcastle United";19;10;2;7;36;30;32;41.12;36.56;30.75;8.09;9.37;10.31;152;140;33.12
12;"Bournemouth";19;7;10;2;29;20;31;32.24;29.19;16.19;13.76;9.43;11.08;145;125;37.24
13;"Chelsea";19;7;5;7;26;25;26;37.5;33.7;29.93;5.29;9.53;15.82;139;115;30.06
14;"Everton";19;6;5;8;26;27;23;26.44;24.92;27.04;-0.6;12.95;10.69;109;118;26.11
15;"West Ham";19;6;4;9;27;30;22;28.43;26.91;30.29;-1.1;14.33;9.63;94;120;26.96
16;"Crystal Palace";19;4;9;6;19;23;21;35.85;33.56;30.31;6.29;12.72;11.57;148;106;29.79
17;"Nottingham Forest";19;4;8;7;20;23;20;28.2;27.44;28.19;1.53;13.08;9.78;120;110;25.61
18;"Tottenham";19;3;6;10;22;31;15;24.81;24.81;28.52;-2.18;8.52;9.43;104;127;26.12
19;"Wolverhampton Wanderers";19;3;5;11;19;34;14;22.58;20.3;31.29;-7.94;13.22;8.76;93;143;21.79
20;"Burnley";19;2;7;10;18;29;13;20.96;20.96;37.83;-15.35;13.15;10.99;100;164;16.08
