"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Barcelona";38;31;1;6;95;36;94;99.67;92.24;50.71;45.24;7.09;16.85;438;160;79.06
2;"Real Madrid";38;27;5;6;77;35;86;81.49;70.97;44.99;28.95;10.77;15.62;381;219;75.93
3;"Villarreal";38;22;6;10;72;46;72;68.84;62.89;53.67;15.17;14.77;9.37;289;263;63.28
4;"Atletico Madrid";38;21;6;11;62;44;69;68.11;65.13;53.14;16.45;11;14.64;351;199;61.83
5;"Real Betis";38;15;15;8;59;48;60;61.3;59.07;50.32;13.95;12.77;13.04;262;219;59.96
6;"Celta Vigo";38;14;12;12;53;48;54;51.99;46.05;56.34;-2.01;12.88;12.91;263;238;51.37
7;"Getafe";38;15;6;17;32;38;51;33.96;30.98;48.31;-14.36;10.59;5.66;109;177;42.95
8;"Rayo Vallecano";38;12;14;12;41;44;50;59.98;57;56.34;6.62;8.46;11.6;185;238;55.9
9;"Valencia";38;13;10;15;46;55;49;53.95;47.27;55.53;-2.21;12.55;9.76;189;226;53.54
10;"Real Sociedad";38;11;13;14;59;61;46;59.7;53.01;60.54;-3.81;9.08;12.33;229;247;54.61
11;"Espanyol";38;12;10;16;43;55;46;52.38;48.66;62.67;-10.29;12.16;9;171;235;44.13
12;"Athletic Club";38;13;6;19;43;58;45;55.65;51.19;47.12;8.77;10.1;11.31;258;152;56.9
13;"Elche";38;10;13;15;49;57;43;48.17;44.45;68.93;-19.28;8.29;10.81;206;236;41.67
14;"Alaves";38;11;10;17;44;56;43;53.58;48.37;52.97;-0.88;10.38;8.6;168;230;52.58
15;"Sevilla";38;12;7;19;46;60;43;39.65;35.09;61.32;-18.06;9.11;10.26;201;206;37.88
16;"Osasuna";38;11;9;18;44;50;42;51.46;45.52;51.64;0.57;12.07;10.44;192;248;53.36
17;"Mallorca";38;11;9;18;47;57;42;47.51;42.07;65.85;-17.81;12.22;10.7;154;264;39.79
18;"Levante";38;11;9;18;47;61;42;59.6;55.01;66.65;-8.58;12.78;9.18;208;295;47.79
19;"Girona";38;9;14;15;39;55;41;52.13;46.19;65.82;-15.18;13.29;10.28;233;285;45.11
20;"Real Oviedo";38;6;11;21;26;60;29;41.5;39.27;67.74;-23.27;12.03;9.92;147;297;36.08
