"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Paris Saint Germain";17;11;2;4;33;17;35;36.25;33.21;20.01;15.48;8.78;21.3;170;92;33.37
2;"Lille";17;10;2;5;28;20;32;25.99;23.71;21.34;5.64;10.37;13.62;152;73;25.84
3;"Lens";17;8;4;5;31;22;28;31.67;30.15;25.54;8.69;10.59;11.87;116;92;27.25
4;"Rennes";17;7;4;6;29;33;25;23.78;20.74;34.31;-10.52;11.51;11.73;105;132;17.53
5;"Lyon";17;6;5;6;23;22;23;22.94;21.42;25.98;-2.28;11.37;11.61;105;102;21.69
6;"Strasbourg";17;6;5;6;28;28;23;27.74;24.7;29.94;-2.97;10.82;13.43;127;102;21.72
7;"Marseille";17;7;1;9;22;25;22;31.14;28.86;28;3.14;10.03;16.97;113;98;26.28
8;"Monaco";17;6;4;7;27;31;22;28.97;27.45;28.5;0.47;8.69;12.61;144;134;23.3
9;"Toulouse";16;6;2;8;22;22;20;18.74;16.46;23.91;-5.94;12.68;9.51;103;102;19.41
10;"Paris FC";17;4;7;6;19;23;19;20.66;19.14;30.27;-5.05;16.23;12.61;69;119;17.53
11;"Lorient";17;3;6;8;17;26;15;19.91;17.63;30.63;-10.72;17.71;10.34;68;126;15.49
12;"Brest";17;3;4;10;15;32;13;16.3;13.26;31.71;-16.93;12.03;9.13;69;122;14
13;"Angers";17;3;4;10;11;28;13;14.59;11.55;33.77;-20.71;20.25;10.23;50;128;11.73
14;"Auxerre";17;2;6;9;16;27;12;18.25;17.49;28.12;-9.11;13.5;7.87;80;127;17.21
15;"Le Havre";17;2;6;9;12;26;12;16.87;15.99;32.48;-13.45;10.74;9.37;61;152;14.48
16;"Nice";17;3;3;11;18;33;12;19.44;17.92;31.22;-11.02;13.35;10.4;89;140;15.15
17;"Nantes";17;2;5;10;11;25;11;17.08;16.32;27.04;-7.67;15.34;7.75;73;101;16.62
18;"Metz";17;1;4;12;17;44;7;13.54;11.26;39.94;-24.12;16.72;11.04;55;162;8.13
