"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";38;27;6;5;89;35;87;87.05;82.48;35.85;49.68;9.66;16.66;447;127;82.69
2;"Napoli";38;23;7;8;58;36;76;57.76;53.95;41.63;20.07;11.87;16.8;263;148;63.46
3;"Roma";38;23;4;11;59;31;73;62.63;57.3;42.59;15.47;8.66;13.07;320;172;66.64
4;"Como";38;20;11;7;65;29;71;67.97;61.88;39.54;26.9;7.71;14.77;242;145;68.81
5;"AC Milan";38;20;10;8;53;35;70;64.81;57.96;46.12;17.93;14.62;14.95;293;202;64.46
6;"Juventus";38;19;12;7;61;34;69;74.16;70.22;36.12;36.38;10.58;15.89;386;173;75.5
7;"Atalanta";38;15;14;9;51;36;59;68.65;66.36;51.7;17.83;10.63;13.72;355;236;64.18
8;"Bologna";38;16;8;14;49;46;56;50.04;44.72;50.91;-3.15;9.89;11.94;200;180;52.39
9;"Lazio";38;14;12;12;41;40;54;46.18;42.24;49;-2.95;16.66;12.99;172;210;48.24
10;"Udinese";38;14;8;16;45;48;50;47.29;43.48;57.02;-8.21;11.6;9.4;196;202;46.53
11;"Sassuolo";38;14;7;17;46;50;49;48.02;44.65;61.07;-11.85;14.98;10.57;209;274;46.44
12;"Parma Calcio 1913";38;11;12;15;28;46;45;36.15;34.63;61.8;-22.61;13.33;9.44;138;304;37.64
13;"Torino";38;12;9;17;44;63;45;51.55;46.11;60.36;-11.21;13.1;11.27;167;261;47.42
14;"Cagliari";38;11;10;17;40;53;43;43.73;42.21;60.36;-16.63;14.78;10.17;137;231;42.05
15;"Fiorentina";38;9;15;14;41;50;42;52.17;47.61;57.46;-5.29;12.49;11.05;191;238;48.38
16;"Genoa";38;10;11;17;41;51;41;48.13;41.28;55.7;-9.1;10.05;9.88;148;237;46.29
17;"Lecce";38;10;8;20;28;50;38;37.23;35.71;64.8;-24.52;11.93;7.41;130;272;36.05
18;"Cremonese";38;8;10;20;32;57;34;37.49;34.44;66.51;-27.36;13.58;10.86;107;264;36.44
19;"Verona";38;3;12;23;25;61;21;37.39;35.11;55.58;-16.33;12.15;9.57;152;245;40.98
20;"Pisa";38;2;12;24;26;71;18;42.16;36.83;66.46;-25.06;13.62;9.43;163;295;39.11
