"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";34;28;5;1;122;36;89;104.81;95.72;44.65;53.34;9.06;21.27;473;164;77.45
2;"Borussia Dortmund";34;22;7;5;70;34;73;67.8;60.98;42.78;22;11.92;13.67;340;180;61.9
3;"RasenBallsport Leipzig";34;20;5;9;66;47;65;75.18;72.91;53.48;21.7;12.88;13.06;336;237;61.33
4;"VfB Stuttgart";34;18;8;8;71;49;62;68.33;63.03;53.45;17.15;10.24;14.54;300;216;57.67
5;"Hoffenheim";34;18;7;9;65;52;61;63.15;58.6;54.09;9.82;8.25;15.63;296;176;54.4
6;"Bayer Leverkusen";34;17;8;9;68;47;59;75.25;69.19;50.96;23.53;12.75;16.68;294;244;61.07
7;"Freiburg";34;13;8;13;51;57;47;50.13;45.58;53.57;-7.22;12.52;11.27;183;256;45.2
8;"Eintracht Frankfurt";34;11;11;12;61;65;44;51.02;46.47;55.55;-6.81;11;14.73;228;220;45.2
9;"Augsburg";34;12;7;15;45;61;43;51.27;46.72;65.53;-13.35;15.2;9.39;181;323;39.44
10;"Mainz 05";34;10;10;14;44;53;40;63.26;56.44;61.87;-3.91;13.56;10.58;246;253;50.36
11;"Union Berlin";34;10;9;15;44;58;39;48.41;44.63;56.06;-6.89;15.45;10.48;169;239;46.05
12;"Borussia M.Gladbach";34;9;11;14;42;53;38;46.69;41.38;56.61;-11.44;15.2;11.79;229;285;40.54
13;"Hamburger SV";34;9;11;14;40;54;38;43.83;39.21;66.06;-18.52;14.66;10.42;186;279;35.18
14;"FC Cologne";34;7;11;16;49;63;32;53.83;51.56;61.85;-4.98;15.77;13.58;210;244;41.12
15;"Werder Bremen";34;8;8;18;37;60;32;42.35;39.32;61.86;-18;12.82;13.3;256;263;37.74
16;"Wolfsburg";34;7;8;19;45;69;29;52.58;48.72;65.13;-5.73;12.92;13.14;173;300;40.7
17;"FC Heidenheim";34;6;8;20;41;72;26;49.97;48.45;71.59;-18.59;16.17;11.1;187;335;34.81
18;"St. Pauli";34;6;8;20;29;60;26;34.03;30.09;66.81;-32.1;18.94;12.88;169;242;26.31
