"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Erling Haaland";"Manchester City";35;2979;27;8;28.8;5.51;0.87;0.17
2;"Thiago";"Brentford";38;3292;22;1;24.69;3.45;0.67;0.09
3;"Antoine Semenyo";"Bournemouth,Manchester City";37;3220;17;4;12.84;4.13;0.36;0.12
4;"Ollie Watkins";"Aston Villa";37;2908;16;3;18.83;2.82;0.58;0.09
5;"Morgan Gibbs-White";"Nottingham Forest";37;3142;15;4;11.67;4.5;0.33;0.13
6;"João Pedro";"Chelsea";35;2698;15;5;15.72;3.98;0.52;0.13
7;"Dominic Calvert-Lewin";"Leeds";35;2732;14;1;18.67;1.54;0.62;0.05
8;"Viktor Gyokeres";"Arsenal";36;2255;14;1;13.87;2.65;0.55;0.11
9;"Danny Welbeck";"Brighton";37;2286;13;1;12.72;2.26;0.5;0.09
10;"Eli Junior Kroupi";"Bournemouth";33;1708;13;0;8.85;1.82;0.47;0.1
11;"Jean-Philippe Mateta";"Crystal Palace";32;2225;12;0;15.98;1.25;0.65;0.05
12;"Richarlison";"Tottenham";32;1926;11;4;9.87;3.41;0.46;0.16
13;"Bryan Mbeumo";"Manchester United";33;2676;11;3;13.31;5.09;0.45;0.17
14;"Hugo Ekitike";"Liverpool";28;1835;11;4;11.93;2.49;0.59;0.12
15;"Benjamin Sesko";"Manchester United";30;1636;11;1;12.5;0.6;0.69;0.03
16;"Zian Flemming";"Burnley";29;1795;11;0;9.55;0.68;0.48;0.03
17;"Harry Wilson";"Fulham";36;2751;10;7;5.76;5.5;0.19;0.18
18;"Matheus Cunha";"Manchester United";33;2506;10;2;7.08;3.7;0.25;0.13
19;"Cole Palmer";"Chelsea";26;2007;10;1;10.26;2.12;0.46;0.1
20;"Enzo Fernández";"Chelsea";36;3149;10;4;11.92;8.87;0.34;0.25
21;"Morgan Rogers";"Aston Villa";37;3301;10;6;7.15;7.48;0.19;0.2
22;"Bruno Fernandes";"Manchester United";35;3082;9;21;11.93;17.76;0.35;0.52
23;"Jarrod Bowen";"West Ham";38;3416;9;11;8.27;8.43;0.22;0.22
24;"Casemiro";"Manchester United";34;2649;9;2;6.58;3.18;0.22;0.11
25;"Raúl Jiménez";"Fulham";36;2215;9;3;12.02;1.94;0.49;0.08
26;"Ismaila Sarr";"Crystal Palace";28;2181;9;1;11.54;2.2;0.48;0.09
27;"Bruno Guimarães";"Newcastle United";29;2467;9;5;6.6;3.87;0.24;0.14
28;"Beto";"Everton";37;1552;9;1;10.95;1;0.63;0.06
29;"Nick Woltemade";"Newcastle United";33;1953;8;3;8.26;2.9;0.38;0.13
30;"Kevin Schade";"Brentford";35;2781;8;3;11.83;4.57;0.38;0.15
31;"Kiernan Dewsbury-Hall";"Everton";31;2649;8;4;4.33;6.57;0.15;0.22
32;"Jaidon Anthony";"Burnley";37;2777;8;2;5.56;4.37;0.18;0.14
33;"Noah Okafor";"Leeds";28;1592;8;1;6.3;2.26;0.36;0.13
34;"Thierno Barry";"Everton";38;1921;8;0;9.15;1;0.43;0.05
35;"Callum Wilson";"West Ham";32;1229;7;1;7.6;1.03;0.56;0.08
36;"Mohamed Salah";"Liverpool";27;2163;7;7;8.84;6.43;0.37;0.27
37;"Phil Foden";"Manchester City";33;2083;7;5;6.69;6.11;0.29;0.26
38;"Harvey Barnes";"Newcastle United";37;1947;7;1;8.05;3.11;0.37;0.14
39;"Bukayo Saka";"Arsenal";31;2239;7;5;8.7;8.55;0.35;0.34
40;"Eberechi Eze";"Arsenal,Crystal Palace";33;1928;7;2;4.81;2.63;0.22;0.12
41;"William Osula";"Newcastle United";24;777;7;0;4.92;0.45;0.57;0.05
