"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Real Madrid";19;11;4;4;32;19;37;34.29;32.06;25.29;9;10.82;14.29;173;124;32.06
2;"Barcelona";19;12;1;6;38;26;37;47.73;43.27;32;14.25;6.8;16.37;222;88;33.43
3;"Celta Vigo";19;8;7;4;24;20;31;23.33;21.1;30.7;-4.29;13.41;12.25;116;138;22.78
4;"Villarreal";19;7;5;7;24;27;26;27.95;24.23;29.23;-3.51;15.44;7.57;118;129;26.2
5;"Real Betis";19;5;9;5;25;29;24;25.03;24.28;28.15;-0.89;14.58;12.67;118;114;23.82
6;"Getafe";19;7;3;9;14;22;24;17.42;15.94;29.58;-11.41;10.97;5.85;60;103;19.16
7;"Atletico Madrid";19;6;5;8;23;27;23;22.7;21.21;33.37;-7.7;11.84;13.07;135;117;19.71
8;"Espanyol";19;5;5;9;22;31;20;23.19;21.7;33.99;-10.8;12.97;7.81;79;125;18.1
9;"Rayo Vallecano";19;5;4;10;17;29;19;25.21;23.72;34.98;-7.53;8.86;11.24;78;134;19.92
10;"Valencia";19;5;4;10;19;32;19;23.66;20.68;34.11;-9.6;13.81;9.56;78;120;20.39
11;"Sevilla";19;5;3;11;22;35;18;17.8;17.06;35.35;-12.35;10.34;10.86;108;116;14.75
12;"Real Sociedad";19;3;8;8;22;30;17;22.63;20.4;34.72;-11.35;9.86;12.57;100;136;20.38
13;"Girona";19;3;8;8;18;28;17;24.82;21.11;33.81;-11.22;12.94;9.81;120;158;20.49
14;"Levante";19;4;4;11;21;33;16;25.5;25.5;36.81;-9.73;14.71;9.6;103;141;19.43
15;"Alaves";19;4;4;11;19;31;16;25.46;23.97;29.57;-4.11;10.89;8.62;85;135;23.38
16;"Athletic Club";19;4;3;12;21;37;15;24.15;22.67;30.44;-5.31;10.36;10.49;116;93;21.32
17;"Osasuna";19;2;4;13;13;26;10;17.62;15.39;31.18;-10.58;12.62;9.49;88;151;17.69
18;"Real Oviedo";19;2;4;13;17;42;10;21.83;19.6;40.76;-18.18;12.57;8.51;60;164;14.7
19;"Mallorca";19;2;3;14;16;36;9;15.73;14.24;40.5;-22.52;13.66;9.65;50;140;10.06
20;"Elche";19;1;5;13;19;38;8;14.68;13.19;35.33;-19.91;8.93;9.75;75;126;13.22
