"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
10;"Antonio Martínez";"Alaves";37;2750;14;3;12.84;3.82;0.42;0.13
14;"Lucas Boyé";"Alaves";29;1960;11;1;11.1;2.71;0.51;0.12
70;"Carlos Vicente";"Alaves";21;1250;5;0;3.71;3.86;0.27;0.28
141;"Antonio Blanco";"Alaves";36;3137;2;3;1.22;1.59;0.03;0.05
144;"Nahuel Tenaglia";"Alaves";36;3240;2;0;1.79;0.43;0.05;0.01
167;"Ibrahim Diabate";"Alaves";10;579;2;0;2.73;0.15;0.42;0.02
177;"Denis Suárez";"Alaves";30;1407;1;2;1.5;1.73;0.1;0.11
195;"Ander Guevara";"Alaves";25;581;1;1;0.64;0.89;0.1;0.14
242;"Pablo Ibáñez";"Alaves";37;2278;1;1;3.93;1.29;0.16;0.05
250;"Abderrahmane Rebbach";"Alaves";30;1479;1;4;2.96;4.95;0.18;0.3
284;"Ángel Pérez";"Alaves";16;1292;1;3;1.21;2.07;0.08;0.14
316;"Jonny";"Alaves";34;3006;0;0;0.88;1.21;0.03;0.04
339;"Carles Aleñá";"Alaves";34;2002;0;4;2.25;4.07;0.1;0.18
343;"Mariano";"Alaves";10;269;0;0;0.25;0.76;0.08;0.25
345;"Jon Guridi";"Alaves";28;1251;0;0;1.62;0.54;0.12;0.04
351;"Antonio Sivera";"Alaves";38;3420;0;0;0;0;0;0
380;"Moussa Diarra";"Alaves";3;225;0;0;0;0.02;0;0.01
398;"Jon Pacheco Dozagarat";"Alaves";22;1737;0;0;0.24;0.76;0.01;0.04
464;"Carlos Benavídez";"Alaves";13;311;0;0;0.23;0.1;0.07;0.03
472;"Victor Parada";"Alaves";30;2159;0;3;1.87;2.38;0.08;0.1
509;"Youssef Lekhedim";"Alaves";25;1332;0;1;0.79;2.77;0.05;0.19
510;"Facundo Garcés";"Alaves";10;786;0;0;0.62;0;0.07;0
520;"Lander Pinillos";"Alaves";1;1;0;0;0;0;0;0
532;"Calebe";"Alaves";19;767;0;0;0.14;0.45;0.02;0.05
557;"Diego Morcillo";"Alaves";1;8;0;0;0.57;0;6.38;0
558;"Carlos Ballestero";"Alaves";1;1;0;0;0;0;0;0
568;"Aitor Mañas";"Alaves";9;105;0;0;1.08;0.03;0.93;0.03
594;"Ville Koski";"Alaves";5;281;0;0;0.02;0.07;0.01;0.02
20;"Gorka Guruzeta";"Athletic Club";35;2401;10;3;11.73;3.5;0.44;0.13
50;"Roberto Navarro";"Athletic Club";32;1246;6;1;3.3;2.06;0.24;0.15
53;"Nico Williams";"Athletic Club";25;1715;6;3;5.86;4.14;0.31;0.22
78;"Oihan Sancet";"Athletic Club";28;1832;4;0;7.06;1.45;0.35;0.07
91;"Iñaki Williams";"Athletic Club";30;2188;3;6;8.66;4.21;0.36;0.17
122;"Alex Berenguer";"Athletic Club";31;2191;2;3;5.27;5.47;0.22;0.22
136;"Aitor Paredes";"Athletic Club";19;1625;2;0;1.48;0.76;0.08;0.04
154;"Mikel Jauregizar";"Athletic Club";36;2872;2;0;1.41;1.58;0.04;0.05
202;"Dani Vivian";"Athletic Club";31;2561;1;0;1.45;1.6;0.05;0.06
229;"Inigo Ruiz de Galarreta";"Athletic Club";34;2289;1;2;0.66;3.33;0.03;0.13
233;"Nicolás Serrano";"Athletic Club";16;338;1;0;0.69;0.57;0.18;0.15
