"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";19;13;3;3;39;19;42;36.09;35.33;21.06;16.55;9.99;17.27;188;65;35.88
2;"AC Milan";19;11;5;3;28;14;38;29.99;25.42;22.02;5.69;16.13;15.14;126;118;31.14
3;"Como";19;10;5;4;30;14;35;26.97;23.92;22.75;3.45;8.11;13.18;104;91;28.68
4;"Bologna";19;10;4;5;30;23;34;23.47;21.18;27.16;-3.69;10.41;11.09;88;88;24.47
5;"Napoli";19;10;3;6;25;18;33;29.56;27.28;19.04;10.52;10.96;15.18;142;78;33.24
6;"Juventus";19;9;5;5;26;18;32;31.87;31.87;20.49;12.14;10.35;14.06;164;93;33.15
7;"Roma";19;10;1;8;26;21;31;28.99;25.19;26.81;-0.87;8.7;12.38;161;116;28.21
8;"Udinese";19;8;3;8;27;27;27;23.63;21.35;33.93;-8.77;13.12;9.07;91;114;19.66
9;"Atalanta";19;6;8;5;26;21;26;28.77;27.24;31.8;-2.15;11.09;14.31;174;136;25.41
10;"Lazio";19;6;6;7;14;15;24;21.65;20.76;22.26;-0.73;15.92;13;77;111;25.15
11;"Parma Calcio 1913";19;6;6;7;12;21;24;17.14;16.38;31.58;-13.67;13.28;9.09;58;160;17.26
12;"Fiorentina";19;5;6;8;20;29;21;20.91;17.87;33.21;-11.54;12.08;10.94;71;140;17.84
13;"Sassuolo";19;5;5;9;21;24;20;23.24;20.77;31.92;-9.63;14.91;10.89;93;160;21.94
14;"Genoa";19;4;7;8;19;25;19;23.31;19.51;29.81;-7.26;11.06;9.99;72;147;21.43
15;"Lecce";19;5;3;11;15;26;18;15.24;15.24;36.56;-19.8;12.74;7.45;46;153;13.93
16;"Cagliari";19;4;6;9;18;30;18;22.55;21.02;33.99;-12.2;15.44;11.44;66;109;18.79
17;"Cremonese";19;5;3;11;14;28;18;15.16;15.16;36.88;-18.53;13.85;9.67;48;131;14
18;"Torino";19;4;5;10;17;34;17;21.35;19.06;28.52;-7.18;14.08;10.13;77;128;22.41
19;"Verona";19;2;7;10;13;33;13;20.48;18.95;33.22;-12.6;11.91;8.85;69;129;19.02
20;"Pisa";19;0;8;11;17;45;8;19.97;16.16;37.23;-19.55;13.46;10.04;70;164;18.98
