"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";19;14;3;2;50;16;45;50.96;47.15;14.79;33.13;9.36;16.07;259;62;46.81
2;"Napoli";19;13;4;2;33;18;43;28.2;26.68;22.59;9.55;12.81;18.76;121;70;30.22
3;"Roma";19;13;3;3;33;10;42;33.63;32.11;15.77;16.34;8.63;13.75;159;56;38.43
4;"Juventus";19;10;7;2;35;16;37;42.29;38.35;15.63;24.24;10.82;18.11;222;80;42.35
5;"Como";19;10;6;3;35;15;36;41;37.96;16.79;23.45;7.31;16.71;138;54;40.12
6;"Atalanta";19;9;6;4;25;15;33;39.88;39.12;19.9;19.98;10.23;13.19;181;100;38.78
7;"AC Milan";19;9;5;5;25;21;32;34.82;32.53;24.1;12.24;13.28;14.76;167;84;33.32
8;"Lazio";19;8;6;5;27;25;30;24.53;21.48;26.74;-2.21;17.4;12.99;95;99;23.09
9;"Sassuolo";19;9;2;8;25;26;29;24.78;23.88;29.15;-2.22;15.06;10.26;116;114;24.5
10;"Torino";19;8;4;7;27;29;28;30.2;27.04;31.84;-4.03;12.15;12.69;90;133;25.01
11;"Cagliari";19;7;4;8;22;23;25;21.18;21.18;26.37;-4.43;14.2;9.06;71;122;23.26
12;"Udinese";19;6;5;8;18;21;23;23.65;22.13;23.09;0.56;10.31;9.72;105;88;26.86
13;"Genoa";19;6;4;9;22;26;22;24.82;21.77;25.89;-1.84;9.09;9.77;76;90;24.86
14;"Bologna";19;6;4;9;19;23;22;26.58;23.53;23.75;0.54;9.41;12.91;112;92;27.92
15;"Fiorentina";19;4;9;6;21;21;21;31.26;29.74;24.26;6.25;12.89;11.17;120;98;30.54
16;"Parma Calcio 1913";19;5;6;8;16;25;21;19.01;18.25;30.23;-8.93;13.38;9.84;80;144;20.38
17;"Lecce";19;5;5;9;13;24;20;21.99;20.47;28.24;-4.73;11.11;7.37;84;119;22.12
18;"Cremonese";19;3;7;9;18;29;16;22.32;19.28;29.63;-8.83;13.31;12.37;59;133;22.44
19;"Pisa";19;2;4;13;9;26;10;22.19;20.67;29.22;-5.51;13.81;8.88;93;131;20.12
20;"Verona";19;1;5;13;12;28;8;16.92;16.16;22.36;-3.73;12.4;10.28;83;116;21.96
