"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";17;14;3;0;54;17;45;44.77;40.22;26.06;15.67;9.19;18.82;233;95;34.08
2;"Borussia Dortmund";17;9;5;3;30;18;32;28.2;26.68;23.84;5.88;12.63;11.84;143;102;26.72
3;"Hoffenheim";17;8;5;4;30;31;29;28.38;26.87;31.75;-1.85;8.63;14.09;126;108;23
4;"Bayer Leverkusen";17;8;4;5;30;28;28;28.64;26.37;31.74;-2.34;13.49;15.07;131;141;21.71
5;"RasenBallsport Leipzig";17;8;3;6;26;27;27;28.87;27.36;28.22;-0.11;11.31;11.97;140;124;25.97
6;"VfB Stuttgart";17;6;5;6;41;33;23;31.22;28.95;33.33;1.68;10.63;16.56;150;131;23.35
7;"Mainz 05";17;6;5;6;23;28;23;29.52;26.49;34.99;-7.74;15.27;10.03;107;127;22.69
8;"Eintracht Frankfurt";17;4;7;6;32;38;19;22.45;21.7;32.77;-8.8;10.32;14.23;101;115;17.46
9;"Wolfsburg";17;5;4;8;24;37;19;23.74;21.46;37.11;-11.03;13.35;12.38;65;148;16.35
10;"Augsburg";17;5;2;10;20;33;17;24.97;21.94;36.58;-9.94;15.99;9.31;91;170;15.92
11;"Union Berlin";17;5;2;10;18;32;17;21.63;20.11;35.31;-12.93;16.25;11;76;133;18.41
12;"Freiburg";17;4;3;10;18;35;15;18.09;16.58;31.79;-14.46;13.68;11.14;72;152;16.1
13;"Borussia M.Gladbach";17;3;5;9;18;29;14;22.3;21.54;29.62;-6.56;14.64;11.57;117;159;18.77
14;"Hamburger SV";17;3;5;9;15;32;14;17.59;15.31;38.89;-16.76;17.18;10.73;86;158;12.49
15;"Werder Bremen";17;3;4;10;18;29;13;18.47;16.95;34.33;-15.11;14.33;11.82;107;157;15.72
16;"FC Cologne";17;2;7;8;19;33;13;24.56;23.04;34.26;-8.95;17.42;13.23;96;143;17.64
17;"FC Heidenheim";17;2;3;12;18;35;9;22.25;22.25;35.88;-11.36;16.3;11.2;99;159;15.52
18;"St. Pauli";17;2;3;12;12;29;9;15.41;14.65;34.37;-17.37;19.56;12.94;73;121;10.49
