"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Arsenal";19;11;5;3;30;16;38;37.69;36.92;18.38;18.54;9.59;13.42;157;91;37.79
2;"Manchester City";19;9;6;4;32;21;33;35.46;33.94;24.52;10.18;10.54;13.47;196;100;34.32
3;"Manchester United";19;7;8;4;30;26;29;30.55;27.51;27.76;2.04;10.8;10.62;121;134;25.98
4;"Aston Villa";19;7;6;6;24;27;27;26.2;26.2;31.89;-5.7;11.77;9.72;132;118;21.49
5;"Chelsea";19;7;5;7;32;27;26;34.71;32.42;28.19;4.24;10.28;14.51;134;137;28.8
6;"Tottenham";19;7;5;7;26;26;26;21.98;21.98;27.07;-4.33;11.39;9.62;102;130;23.14
7;"Everton";19;7;5;7;21;23;26;23.43;23.43;32.96;-8.01;14.01;7.91;102;168;20.07
8;"Bournemouth";19;6;8;5;29;34;26;34.6;33.08;40.58;-3.7;9.92;9.4;130;149;23.09
9;"Nottingham Forest";19;7;3;9;28;28;24;20.74;19.22;36.55;-15.05;13.89;8.91;90;184;16.63
10;"Liverpool";19;7;3;9;29;33;24;32.14;31.38;32.15;1.51;10.32;14.56;154;99;26.81
11;"Crystal Palace";19;7;3;9;22;28;24;26.61;22.8;29.73;-4.65;14.16;10.68;117;126;24.09
12;"Brentford";19;6;3;10;22;31;21;26.06;22.25;34.03;-8.73;10.8;11.08;116;141;21.5
13;"Sunderland";19;5;6;8;17;28;21;20.12;18.6;34.7;-15.34;12.78;10.23;73;150;16.94
14;"Brighton";19;5;5;9;22;26;20;28.28;26;29.9;-1.62;8.89;14.52;132;135;25.42
15;"Newcastle United";19;4;5;10;17;25;17;19.49;19.49;26.56;-5.55;10.59;13.04;122;140;21.72
16;"Fulham";19;4;5;10;17;31;17;20.92;18.63;36.45;-15.53;12.49;13.26;131;151;16.17
17;"West Ham";19;4;5;10;19;35;17;21.21;20.45;37.83;-14.33;13.34;9.03;92;170;16.53
18;"Leeds";19;2;9;8;20;35;15;26.43;22.47;32.94;-7.42;12.59;10.66;101;135;22.76
19;"Burnley";19;2;3;14;20;46;9;15.98;14.46;44.75;-25.73;13.68;11.28;63;199;8.22
20;"Wolverhampton Wanderers";19;0;6;13;8;34;6;15.86;14.34;37.02;-21.92;12.72;9.17;79;160;13.65
