"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Arsenal";38;26;7;5;71;27;85;77.49;74.44;33.13;41.31;9.58;14.09;349;142;79.87
2;"Manchester City";38;23;9;6;77;35;78;79.36;76.31;46.49;31.49;10.72;13.56;409;162;73.95
3;"Manchester United";38;20;11;7;69;50;71;72.19;67.62;50.28;20.38;10.83;11.29;285;266;64.45
4;"Aston Villa";38;19;8;11;56;49;65;56.2;56.2;56.68;1.04;11.53;10.12;293;217;51.07
5;"Liverpool";38;17;9;12;63;53;60;67.26;65.74;53.87;14.91;10.03;13.75;373;214;61.54
6;"Bournemouth";38;13;18;7;58;54;57;66.83;62.27;56.77;10.06;9.68;10.21;275;274;60.33
7;"Sunderland";38;14;12;12;42;48;54;43.14;39.33;60.34;-18.72;11.95;10.39;212;305;42.03
8;"Brighton";38;14;11;13;52;46;53;58.42;54.61;53.75;5.43;8.88;14.6;270;251;55.35
9;"Brentford";38;14;11;13;55;52;53;66.26;58.64;59.11;5.62;11.01;11.06;240;278;57.24
10;"Chelsea";38;14;10;14;58;52;52;72.21;66.12;58.12;9.53;9.9;15.12;273;252;58.85
11;"Fulham";38;15;7;16;47;51;52;49.58;45.78;60.84;-12.02;12.65;14.16;295;257;45.08
12;"Newcastle United";38;14;7;17;53;55;49;60.61;56.05;57.31;2.54;9.97;11.62;274;280;54.83
13;"Everton";38;13;10;15;47;50;49;49.87;48.35;59.99;-8.6;13.46;9.18;211;286;46.17
14;"Leeds";38;11;14;13;49;56;47;59.77;53.53;56.33;1.77;12.06;11.26;200;238;56.5
15;"Crystal Palace";38;11;12;15;41;51;45;62.46;56.37;60.05;1.65;13.44;11.11;265;232;53.88
16;"Nottingham Forest";38;11;11;16;48;51;44;48.94;46.65;64.74;-13.52;13.48;9.33;210;294;42.24
17;"Tottenham";38;10;11;17;48;57;41;46.8;46.8;55.59;-6.51;9.85;9.53;206;257;49.25
18;"West Ham";38;10;9;19;46;65;39;49.64;47.36;68.12;-15.43;13.84;9.3;186;290;43.49
19;"Burnley";38;4;10;24;38;75;22;36.94;35.42;82.58;-41.08;13.4;11.14;163;363;24.31
20;"Wolverhampton Wanderers";38;3;11;24;27;68;20;38.44;34.64;68.3;-29.86;12.98;8.95;172;303;35.44
