name,country_of_citizenship,agent_name,current_club_name,market_value_in_eur,posicion,liga,90s,goals_per_90,total_shots_per_90,Winning Goal,Total Big Chances Missed,assists_per_90,key_passes_per_90,Total Big Chances Created,Second Goal Assists,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Progressive Carries,Successful Dribbles,Aerial Duels won,Total Fouls Won,Tackles Won,Recoveries,Foul Won Penalty,age,log_market_val,club_bucket
['kike' 'garcía'],15,5,Deportivo Alavés,1000000,1,5,18.22222222222222,0.38414634146341464,2.6341463414634148,3.0,11.0,0.054878048780487805,0.9878048780487805,4.0,0.0,241.0,158.0,34.0,9.0,83.0,43.0,7.0,44.0,0.0,34.5,13.815511557963774,1
['ivan' 'ilić'],12,5,Torino FC,18000000,2,3,4.611111111111112,,,0.0,,,1.7349397590361444,1.0,0.0,156.0,69.0,26.0,2.0,4.0,4.0,5.0,18.0,0.0,23.2,16.705882371415992,2
['sheraldo' 'becker'],12,7,Real Sociedad,10000000,1,5,1.6666666666666667,,0.6,0.0,,,1.2,,0.0,32.0,17.0,13.0,,,1.0,1.0,15.0,0.0,29.3,16.118095750958314,2
['marko' 'mitrović'],16,5,FK Dinamo Vranje,100000,2,4,7.811111111111112,0.2560455192034139,1.2802275960170697,0.0,,,1.7923186344238975,1.0,0.0,304.0,158.0,39.0,1.0,5.0,17.0,5.0,46.0,0.0,26.9,11.51293546492023,1
['lewis' 'hall'],5,8,Newcastle United,32000000,0,0,22.211111111111112,0.04502251125562781,0.5402701350675337,0.0,1.0,0.04502251125562781,0.9904952476238119,5.0,0.0,989.0,584.0,185.0,36.0,26.0,41.0,28.0,125.0,0.0,21.3,17.281246492014,2
['hossam' 'hassan'],12,5,Wej SC,100000,1,5,20.211111111111112,,1.1379879054425508,0.0,2.0,0.148433205057724,0.8411214953271028,2.0,0.0,367.0,228.0,254.0,58.0,2.0,19.0,25.0,69.0,0.0,29.7,11.51293546492023,1
['martín' 'satriano'],12,5,Olympique Lyon,6000000,1,5,16.822222222222223,0.35667107001321,1.54557463672391,3.0,1.0,0.059445178335535004,0.8322324966974901,5.0,0.0,230.0,166.0,58.0,23.0,39.0,27.0,13.0,52.0,0.0,24.8,15.607270193858982,2
['césar' 'azpilicueta'],15,5,Sevilla FC,1200000,0,5,12.533333333333333,,0.0797872340425532,0.0,,0.0797872340425532,0.0797872340425532,1.0,0.0,572.0,202.0,81.0,2.0,20.0,8.0,18.0,38.0,0.0,36.3,13.997832948091215,2
['malick' 'mbaye'],14,5,US Viterbese 1908,125000,1,1,3.3222222222222224,,0.3010033444816053,0.0,,,0.6020066889632106,,0.0,79.0,48.0,26.0,3.0,1.0,3.0,5.0,14.0,0.0,27.6,11.736077016252437,1
['yvan' 'neyou'],12,5,Getafe CF,2500000,0,5,0.7222222222222222,,,0.0,,,,,0.0,15.0,10.0,3.0,,,2.0,,2.0,0.0,28.9,14.731801689838349,1
