"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Barcelona";19;19;0;0;57;10;57;51.94;48.96;18.71;31;7.33;17.3;216;72;45.63
2;"Real Madrid";19;16;1;2;45;16;49;47.2;38.91;19.7;19.96;10.71;17.1;208;95;43.88
3;"Villarreal";19;15;1;3;48;19;46;40.89;38.66;24.43;18.69;14.04;11.95;171;134;37.07
4;"Atletico Madrid";19;15;1;3;39;17;46;45.4;43.92;19.77;24.15;10.3;16.53;216;82;42.12
5;"Real Betis";19;10;6;3;34;19;36;36.27;34.78;22.17;14.84;11.38;13.4;144;105;36.14
6;"Elche";19;9;8;2;30;19;35;33.49;31.26;33.59;0.64;7.65;12.11;131;110;28.45
7;"Mallorca";19;9;6;4;31;21;33;31.78;27.83;25.35;4.71;11.01;11.91;104;124;29.72
8;"Osasuna";19;9;5;5;31;24;32;33.84;30.12;20.46;11.15;11.56;11.51;104;97;35.67
9;"Rayo Vallecano";19;7;10;2;24;15;31;34.77;33.28;21.37;14.14;8.02;12;107;104;35.98
10;"Valencia";19;8;6;5;27;23;30;30.3;26.58;21.42;7.4;11.5;9.96;111;106;33.16
11;"Athletic Club";19;9;3;7;22;21;30;31.5;28.53;16.68;14.08;9.84;12.18;142;59;35.58
12;"Real Sociedad";19;8;5;6;37;31;29;37.07;32.61;25.82;7.53;8.37;12.1;129;111;34.22
13;"Getafe";19;8;3;8;18;16;27;16.54;15.04;18.74;-2.95;10.2;5.47;49;74;23.79
14;"Alaves";19;7;6;6;25;25;27;28.11;24.4;23.4;3.23;9.89;8.59;83;95;29.2
15;"Levante";19;7;5;7;26;28;26;34.1;29.51;29.84;1.16;11.15;8.8;105;154;28.36
16;"Espanyol";19;7;5;7;21;24;26;29.19;26.96;28.68;0.51;11.33;10.2;92;110;26.03
17;"Sevilla";19;7;4;8;24;25;25;21.85;18.03;25.97;-5.71;7.99;9.66;93;90;23.13
18;"Girona";19;6;6;7;21;27;24;27.31;25.08;32.01;-3.96;13.68;10.78;113;127;24.62
19;"Celta Vigo";19;6;5;8;29;28;23;28.67;24.95;25.65;2.28;12.37;13.56;147;100;28.59
20;"Real Oviedo";19;4;7;8;9;18;19;19.67;19.67;26.98;-5.09;11.49;11.48;87;133;21.38
